model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.09123149280954845,0.09105294465625392,0.09105294465625392,0.005704958341990927,-1338.6510673597875,0.11930711108160162,0.002492579012857567,0.005437619345222715,-0.21424670204464633
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,__pooled__,6620,0.05253694649733935,0.03936005247982607,0.009076414073233844,0.05174697532064556,0.7340145059412905,0.8618526294722462,0.10186754770708609,0.09074125539847143,0.3452339841479779
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.0672324776161904,0.05763972761865238,0.0540370055691312,0.04000260085960946,0.4554956047846479,0.9050328896400127,0.0911125960545272,0.0725433755869705,0.1777410679167401
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,CayusePass_WA,1081,0.06721586489664136,0.05225631112577074,-0.0019054391512597672,0.06718885171994228,0.6832594768548783,0.8374656887442475,0.11943179963127902,0.08407029136370442,0.09045024255764454
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,Darrington,999,0.038836782585215834,0.030963864601947156,0.022383943974255766,0.03173727672199842,0.8272162106258065,0.9473329892610477,0.09343116122790567,0.09909189167747881,0.6033425425863012
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,Paradise_WA,1067,0.04613400565672582,0.03708073246763929,0.01991738711262595,0.041613028831612484,0.7802587723297392,0.9128563910472418,0.09841592784423522,0.07901812041999494,0.09690341725372052
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,Quinault,1044,0.04218115559518487,0.0339284969958195,-0.025236906971682568,0.033798645148109645,0.6306188039768768,0.8734095428101736,0.06940345358458443,0.060702265324597424,0.7032318332989457
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,SourdoughGulch_WA_985,906,0.06710166467056336,0.04719284629986249,0.009672423551874677,0.06640088571844407,0.29935373613576566,0.6558994487861384,0.08016483243232275,0.07991760703788106,0.14552615439047706
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,Spokane,897,0.03067127965618354,0.021533883733095515,0.0025520384192067682,0.030564922634528473,0.928687110715374,0.9689385906680303,0.11485446404947203,0.09999773702497118,0.25400909968083096
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,__pooled__,155,0.02729810799843657,0.019892491601743983,0.00870516688785241,0.025872896431380556,0.7173454464041817,0.864580465790746,0.051345756207705255,0.042464455048142315,0.5478946565502917
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,CayusePass_WA,31,0.021546876827129007,0.0075381735178732005,-0.004279966550488677,0.02111752322906659,0.2090570037576871,0.5001833714683311,0.024227674856002995,0.009705341883875385,-0.18727855846774452
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,Darrington,31,0.04025398318473499,0.033747995713064714,0.03170156388705772,0.02480713625857941,-0.6104323326931897,0.707860906970473,0.03172032440295856,0.033101496469266654,0.7117981802240446
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,Paradise_WA,31,0.022586734018818784,0.016685738019404827,0.016685738019404827,0.015223228973665673,-37.86051775880056,0.39429608114550996,0.0036232570534448965,0.01628325519374537,-0.15825657682095265
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,Quinault,31,0.02507721642576589,0.02135472408225463,-0.02071732759283439,0.014130078594115655,0.7423356209739083,0.9582335515422403,0.04940286510036508,0.04754607532430336,0.9240101407673075
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_summer_2025,Spokane,31,0.022411048635206002,0.020135826676122563,0.020135826676122563,0.00983888128796764,-10.369179629559419,-0.28926346832234573,0.006646570473821484,0.005582262739628206,0.007525151029823016
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.05335908025503663,0.044682578945394416,0.016413315890302503,0.05077198545604242,-0.28622587505968,-0.11938714195901176,0.047048925994675826,0.014276282986200999,0.04754962389930682
