config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,Spokane,12815,897,0.6141253559184112,0.07134622523626263,0.05740822274986136,0.04236248123240445,0.061058499284611906,0.8978165003480568
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,BeaverPass_WA_990,12423,626,0.7535547550069978,0.04523125548684737,0.0413920719515381,0.01823630588894454,0.03510984294130779,0.8972429045853906
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,CayusePass_WA,12566,1081,0.6863445161439222,0.06688772408254022,0.0658218330771307,0.011893440347871329,0.053575953547707535,0.8432530614662593
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,Darrington,12560,999,0.6750349074818239,0.05326109643059125,0.04260272581737992,0.03196485798369657,0.0434557402992511,0.899300715066402
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,Paradise_WA,12419,1067,0.7830988926595057,0.0458348987025567,0.03955747692712354,0.023152623139370682,0.03597458443992475,0.9164097983837076
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,Quinault,12448,1044,0.5787451693475341,0.04504571958427559,0.045018019475149926,0.0015794858024723226,0.03572299611682636,0.8700670202362473
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,SourdoughGulch_WA_985,12417,906,0.37452130427545083,0.06340013024190123,0.05732247095150657,-0.02708709727349397,0.05017494219607339,0.7332280038206997
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,Spokane,12815,897,0.6083144897577386,0.07188141745147199,0.056880402489233144,0.043949493597715335,0.06154203751998867,0.8946347413334904
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,BeaverPass_WA_990,12423,626,0.7461246310329712,0.04590803508564445,0.0414119786173331,0.01981402817254249,0.03563672198112399,0.8968067115274528
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,CayusePass_WA,12566,1081,0.6835696967799388,0.06718294077238542,0.06554889587456458,0.01472717829223698,0.05352336585902154,0.8442592054815288
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,Darrington,12560,999,0.69263239356688,0.051798930651863556,0.042983004786021455,0.028906582576316876,0.04197201474203361,0.8989912511389369
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,Paradise_WA,12419,1067,0.7822181493312855,0.045927862460547614,0.03977653003930216,0.022960753651121116,0.03597170487775239,0.9154613566984056
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,Quinault,12448,1044,0.5808527069402614,0.04493289644365149,0.04493270117779757,0.00013246766646246236,0.035510991518182315,0.8718319282090969
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,SourdoughGulch_WA_985,12417,906,0.35937523191059784,0.06416316107839055,0.0576674406556781,-0.028131433091745206,0.05103293668927736,0.7291255662111052
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,Spokane,12815,897,0.6051724174742764,0.07216915526666035,0.05696682875316046,0.044307644867578086,0.06193431332013015,0.8942242514726138
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,BeaverPass_WA_990,12423,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,CayusePass_WA,12566,1081,0.68682213299688,0.06683677825686479,0.06581346491129778,0.011650869672547656,0.05338682836200439,0.842587139647287
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,Darrington,12560,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
