config_id,strategy_name,seed,n_train_total,n_test,train_time_s,r2,rmse,ubrmse,bias,mae,pearson
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,123,14608,6620,252.52313466509804,0.8106215254980341,0.0443303498070178,0.04392274886556718,0.005997670056353521,0.03408076918540224,0.9029193870364552
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,2024,14608,6620,236.82768092118204,0.8135903981885629,0.04398149531553677,0.04360389868546093,0.005750821647264085,0.0338667005806441,0.9044204008362328
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,3141,14608,6620,242.16672202805057,0.8119637472219808,0.04417297457540723,0.04382830874418042,0.00550736193330086,0.03384179036004125,0.9034738601558066
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,2718,14608,6620,262.3787642708048,0.8118091919719549,0.044191124699967325,0.04376808826636815,0.00609999604552894,0.034029733675826346,0.9035881085451064
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,808,14608,6620,251.06573255592957,0.8096619179583678,0.04444252196756582,0.044035722132651466,0.005999411228902389,0.03414842242985694,0.902518613982333
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,1618,14608,6620,226.30349052790552,0.8093094022705595,0.04448365782138035,0.044087810412611866,0.005921214925270424,0.03414523619768123,0.9022380218746338
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,2357,14608,6620,213.9484286941588,0.8136734662721199,0.04397169467866576,0.043522180457560476,0.0062713428492902614,0.03389859562738604,0.9047174383565884
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,3333,14608,6620,258.99731674976647,0.8101975394251036,0.04437994610560453,0.043943069221560896,0.006211785872474175,0.034150274570731956,0.9029273891401182
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,4321,14608,6620,224.72214111080393,0.810670033682012,0.04432467196403791,0.043958118502120454,0.005688616920931099,0.03401474064537225,0.90287891860562
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,5555,14608,6620,246.3402640298009,0.8115670220071022,0.044219548836613345,0.043771489454328606,0.0062789497739058585,0.03403938379737905,0.9036198726618035
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,6789,14608,6620,234.41396714327857,0.8135474839849914,0.04398655761439102,0.043566876152730076,0.0060617285535414745,0.03387731238400108,0.9045952378813267
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,7777,14608,6620,208.3008118327707,0.8130889160016774,0.044040615452985946,0.04360156646297818,0.006203161407885592,0.03386261117993165,0.9044291452527276
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,8888,14608,6620,238.88826398691162,0.8122692648670282,0.04413707429213213,0.04372518249712107,0.006015791108628051,0.03394128089112278,0.9039664848456008
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,9091,14608,6620,228.6128058922477,0.8118934604965339,0.04418122958902418,0.04378003203589709,0.005940525476242838,0.03400752919538683,0.9035291299785779
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,101,14608,6620,270.63974900124595,0.8111166369214895,0.04427236320911864,0.04391240068691722,0.005634111290323769,0.0340344163698012,0.9030978230423946
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,202,14608,6620,242.56036610389128,0.811554073839662,0.04422106808311945,0.04381566783156874,0.005974120427771636,0.033962608448319206,0.9035369122894594
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,303,14608,6620,225.3806285308674,0.8118223426721021,0.04418958064372708,0.04379343292091636,0.005903750542634561,0.03393290240354948,0.903682242177614
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,404,14608,6620,233.98022788763046,0.8134314024752887,0.044000248047870186,0.043636349137985274,0.005647199499039849,0.033861196088439745,0.9042330926250647
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,505,14608,6620,232.76119037298486,0.8124752358882762,0.04411285488769453,0.04364577270291829,0.006402381705895649,0.033949891235298985,0.9041749956373047
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,606,14608,6620,230.65856922836974,0.8106437910817009,0.04432774372908582,0.04391577736650468,0.006029374959902818,0.0341002325932515,0.9030584634594501
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,707,14608,6620,206.93100982904434,0.810810615327983,0.04430821288838325,0.04393523998336833,0.005736934457192607,0.03410930838865816,0.9028834116704719
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,909,14608,6620,199.5465138340369,0.8115070337918927,0.04422658699085251,0.0438307852785617,0.005903664855330369,0.033950984184799596,0.9034511772901347
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,1111,14608,6620,160.12760145077482,0.8134741294282967,0.04399520940737904,0.043567460091044015,0.00612003856314813,0.03381301337249149,0.9045689716228913
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,2222,14608,6620,130.5345578729175,0.8121570610167411,0.04415026235616229,0.043762908190745485,0.0058355404896498425,0.03388482547146676,0.9037193671701801
