config_id,seed,station,cluster,n_train,n_test,r2,rmse,ubrmse,bias,mae,pearson
StationMean_Backbone54_k2_c0_0_c1_0,55,Quinault,0,8464,1044,0.5808527069402614,0.04493289644365149,0.04493270117779757,0.00013246766646246236,0.035510991518182315,0.8718319282090969
StationMean_Backbone54_k2_c0_0_c1_0,55,Quinault,1,3984,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,55,SourdoughGulch_WA_985,0,6393,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,55,SourdoughGulch_WA_985,1,6024,906,0.34525864325511557,0.06486624769457196,0.05662695102508905,-0.031638876522021575,0.05194334002302972,0.732602594992131
StationMean_Backbone54_k2_c0_0_c1_0,55,Spokane,0,6393,0,,,,,,
StationMean_Backbone54_k2_c0_0_c1_0,55,Spokane,1,6422,897,0.6051724174742764,0.07216915526666035,0.05696682875316046,0.044307644867578086,0.06193431332013015,0.8942242514726138
Clustering_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,0,8439,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
Clustering_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,0,8582,1066,0.7020678452897564,0.06555618864590873,0.06478368963795374,0.01003431246629575,0.05235755012417823,0.851863367404172
Clustering_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,1,3984,15,-12.423949425754476,0.12851409565292496,0.022471505448529785,0.12653420179684954,0.12653420179684954,0.9540447147613808
Clustering_Backbone54_k2_c0_0_c1_0,42,Darrington,0,8576,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
Clustering_Backbone54_k2_c0_0_c1_0,42,Darrington,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,0,8405,1066,0.7564149861021505,0.04859529778234031,0.03938006830107448,0.028473025605949186,0.03790641043551868,0.9172657336617924
Clustering_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,1,4014,1,,0.080703143119812,0.0,0.080703143119812,0.080703143119812,
Clustering_Backbone54_k2_c0_0_c1_0,42,Quinault,0,8464,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
Clustering_Backbone54_k2_c0_0_c1_0,42,Quinault,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,0,6690,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,1,5727,906,0.32044599410877195,0.06608393229335663,0.054924491053458716,-0.036747603865714525,0.05358108277516912,0.7718647927581843
Clustering_Backbone54_k2_c0_0_c1_0,42,Spokane,0,7049,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,42,Spokane,1,5766,897,0.5503240478530402,0.07701897082967264,0.054158829134656146,0.05476078062286079,0.06518030819632405,0.8951290551760201
Clustering_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,0,8439,626,0.7647745419639327,0.04418965210998679,0.03999309737117031,0.018795678127211883,0.03442477750673461,0.9042576884616225
Clustering_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,0,8582,1066,0.7022171712977487,0.06553975794060475,0.06473558312205042,0.01023543593410479,0.05268031874612169,0.8522306911960025
Clustering_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,1,3984,15,-12.314080349244158,0.12798709967283015,0.022934376771223876,0.12591549564997354,0.12591549564997354,0.9471314479267668
Clustering_Backbone54_k2_c0_0_c1_0,7,Darrington,0,8576,999,0.6996164404651593,0.05120705814802322,0.04160302175299506,0.02985550845647837,0.04159901472600969,0.9047218033875417
Clustering_Backbone54_k2_c0_0_c1_0,7,Darrington,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,0,8405,1066,0.7721025757045921,0.04700441730920066,0.039011024546810935,0.02622127400386177,0.03674360863352807,0.9189403563819949
Clustering_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,1,4014,1,,0.0826516785621643,0.0,0.0826516785621643,0.0826516785621643,
Clustering_Backbone54_k2_c0_0_c1_0,7,Quinault,0,8464,1044,0.5720079944661474,0.045404501341528264,0.04536479643902453,0.0018984167399991058,0.03610390870153219,0.8724479470670428
Clustering_Backbone54_k2_c0_0_c1_0,7,Quinault,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,0,6690,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,1,5727,906,0.31190584406390975,0.06649788365554445,0.05519745149650751,-0.03708382233477323,0.05385275935567504,0.7691641721369163
Clustering_Backbone54_k2_c0_0_c1_0,7,Spokane,0,7049,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,7,Spokane,1,5766,897,0.5569032981978022,0.07645345885905619,0.05401370921422334,0.054107768281779295,0.06475194210059933,0.8958595508713969
Clustering_Backbone54_k2_c0_0_c1_0,13,BeaverPass_WA_990,0,8439,626,0.7587253158714995,0.04475425158820963,0.04009110987032715,0.019890850775824566,0.03522456099688054,0.9028258614703017
Clustering_Backbone54_k2_c0_0_c1_0,13,BeaverPass_WA_990,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,13,CayusePass_WA,0,8582,1066,0.7019891572617438,0.06556484522520864,0.06448730740103502,0.01183791001697418,0.05236401625075438,0.8541653749761553
Clustering_Backbone54_k2_c0_0_c1_0,13,CayusePass_WA,1,3984,15,-12.204516099197248,0.12745939596844477,0.022412296519303918,0.12547344972292582,0.12547344972292582,0.9522419149543381
Clustering_Backbone54_k2_c0_0_c1_0,13,Darrington,0,8576,999,0.7037705700762239,0.05085174353339478,0.04328990361625973,0.026681155621170165,0.04132741902820818,0.9006329383864857
Clustering_Backbone54_k2_c0_0_c1_0,13,Darrington,1,3984,0,,,,,,
Clustering_Backbone54_k2_c0_0_c1_0,13,Paradise_WA,0,8405,1066,0.765646590504945,0.047665549390276764,0.03923310915588955,0.02706968312779019,0.03715230805056404,0.9176499819624744
Clustering_Backbone54_k2_c0_0_c1_0,13,Paradise_WA,1,4014,1,,0.08461222434043883,0.0,0.08461222434043883,0.08461222434043883,
Clustering_Backbone54_k2_c0_0_c1_0,13,Quinault,0,8464,1044,0.572084259603278,0.04540045578138828,0.04538154643391348,0.0013102016731582837,0.036052375303888225,0.8741304081332921
Clustering_Backbone54_k2_c0_0_c1_0,13,Quinault,1,3984,0,,,,,,
