,max_depth,min_child_weight,lambda,subsample,colsample_bytree,val_R2_mean,val_R2_std,val_RMSE_mean,val_bias_mean,best_iter_mean
551,5,100,5,0.6,1.0,0.7815017277156294,0.0014691696824940268,0.05021711586365529,0.008320468484920322,68.0
317,4,5,30,0.6,1.0,0.7814549514442213,0.0030161669339853706,0.050221575137644366,0.01000837387900919,193.66666666666666
229,3,50,5,0.8,0.8,0.7814466531575359,0.0022165528698747943,0.05022307982533275,0.008921069663831256,81.66666666666667
247,3,50,30,0.8,0.8,0.7814411378852042,0.003339419539102301,0.050222894316067794,0.00965604720530224,208.33333333333334
413,4,100,5,1.0,1.0,0.7814000652552177,0.0,0.0502290805184735,0.008571927652313885,71.0
166,3,5,10,0.8,0.8,0.7813839810461624,0.001403995926101805,0.05023066961265649,0.0089375477944441,83.33333333333333
175,3,5,30,0.8,0.8,0.781375224410215,0.003472871521004059,0.050230351884802765,0.00963102723795342,203.0
147,3,5,1,0.8,0.6,0.7813674691772264,0.003999278651854793,0.05023071087918993,0.008653375209916925,149.33333333333334
252,3,100,1,0.6,0.6,0.7813555970327637,0.0014149675664860883,0.05023392623149046,0.009226719545249657,168.0
458,5,5,10,1.0,1.0,0.7813496665847603,0.0,0.050234870394364285,0.00874113555121817,75.0
172,3,5,30,0.6,0.8,0.7813047115589974,0.0056220675526704195,0.05023592049350314,0.009727607883831611,210.66666666666666
311,4,5,10,0.8,1.0,0.7812674138142527,0.003014130441077114,0.050243130926383016,0.009732549383716566,142.66666666666666
331,4,20,1,1.0,0.8,0.7812557865272612,0.0,0.05024565369922623,0.008370293099004687,68.0
547,5,100,1,1.0,0.8,0.7812225507391614,0.0,0.05024947069270183,0.00774114571328979,65.0
326,4,20,1,0.6,1.0,0.7811381757828851,0.002234111628425065,0.05025850690901305,0.008454892026839111,77.0
452,5,5,10,0.6,1.0,0.7810775022863453,0.00017544381596476766,0.05026612148347424,0.00887201297066447,102.0
202,3,20,10,0.8,0.8,0.7810060892050642,0.0012891890935802922,0.05027410536598015,0.009049849406342389,82.0
439,5,5,1,1.0,0.8,0.7809892526490955,0.0,0.050276255861710695,0.008813577036430159,62.0
530,5,50,10,1.0,1.0,0.7809527716878731,1.1102230246251565e-16,0.050280442984467766,0.008310374525830395,78.0
308,4,5,10,0.6,1.0,0.7808481061048497,0.003051870388543352,0.05029123099659855,0.008968482413653105,106.33333333333333
470,5,20,1,0.6,1.0,0.7808312301383326,0.0033942667462931284,0.050292876856466495,0.008742252093393658,93.0
368,4,50,1,1.0,1.0,0.7808030907447496,0.0,0.05029761904950925,0.008448670313444356,74.0
566,5,100,10,1.0,1.0,0.7807789702843358,0.0,0.05030038635211385,0.009447337681515046,142.0
268,3,100,5,1.0,0.8,0.7807388175198536,0.0,0.05030499267819271,0.008936846817528803,88.0
484,5,20,5,1.0,0.8,0.7807084369801208,1.1102230246251565e-16,0.050308477654137006,0.008466591402862064,77.0
220,3,50,1,0.8,0.8,0.7806362342188978,0.0014958371590597164,0.05031646613490223,0.009292613089498546,77.66666666666667
557,5,100,5,1.0,1.0,0.7805889845983464,1.1102230246251565e-16,0.050322177792096794,0.008158407124498326,76.0
313,4,5,10,1.0,0.8,0.7805596929488862,0.0,0.050325536717346464,0.008275746979099205,86.0
329,4,20,1,0.8,1.0,0.7805022418707918,0.004086581656479506,0.05032993044552394,0.009204653350157584,83.33333333333333
262,3,100,5,0.6,0.8,0.7804832169960338,0.0008542684884981734,0.05033421011509054,0.009395328738053326,114.0
265,3,100,5,0.8,0.8,0.780475676021419,0.002226581832855993,0.050334520232305204,0.009138710460432473,97.0
199,3,20,10,0.6,0.8,0.7804080942204942,0.0014487085155264038,0.05034264304477521,0.009185129301828012,81.0
274,3,100,10,0.8,0.8,0.7803910901171759,0.0019531083242939186,0.050344367017962965,0.009512434032450522,151.66666666666666
205,3,20,10,1.0,0.8,0.7803576726159674,0.0,0.05034869664399957,0.008538654421316242,84.0
560,5,100,10,0.6,1.0,0.7803559889594759,0.0009592087238081922,0.0503487696964395,0.008180785564476179,71.0
256,3,100,1,0.8,0.8,0.780346073726204,0.0025326298807775253,0.050349186192389817,0.009266071085869125,77.33333333333333
479,5,20,5,0.6,1.0,0.7802925195210683,0.0036064521014674187,0.050354458281054636,0.008685184322395224,75.33333333333333
571,5,100,30,0.8,0.8,0.780263390472863,0.0011201938784358213,0.05035933805396978,0.008950805190605211,79.33333333333333
359,4,20,30,1.0,1.0,0.7802357937787202,0.0,0.05036266387344974,0.008671189651148997,91.0
211,3,20,30,0.8,0.8,0.7802092986499186,0.0045477653064318795,0.050362984081064766,0.009497896129919465,151.33333333333334
250,3,50,30,1.0,0.8,0.7802004807543775,0.0,0.05036670999763058,0.008572976867537158,79.0
350,4,20,10,1.0,1.0,0.7801052508706188,0.0,0.05037761970422607,0.008555947274083334,82.0
145,3,5,1,0.6,0.8,0.7800938477388334,0.0012819992156678495,0.0503787119777514,0.009157970623739195,136.0
332,4,20,1,1.0,1.0,0.7800864150189528,0.0,0.05037977729338227,0.008645581604195802,72.0
349,4,20,10,1.0,0.8,0.7800484203566634,0.0,0.050384129184498715,0.008493175543372481,79.0
347,4,20,10,0.8,1.0,0.7800028094692575,0.004783686066598948,0.05038635295697882,0.009194666244118752,138.66666666666666
259,3,100,1,1.0,0.8,0.7799811352776093,0.0,0.05039183506434555,0.009281706570136083,113.0
419,4,100,10,0.8,1.0,0.779975886087478,0.00020035155912231004,0.05039243096113727,0.008660210435519197,74.66666666666667
241,3,50,10,1.0,0.8,0.7799733389653717,1.1102230246251565e-16,0.0503927278673346,0.008458893590007727,99.0
338,4,20,5,0.8,1.0,0.7798653133299253,0.002937639859284142,0.05040397016557266,0.009226051071574197,98.66666666666667
374,4,50,5,0.8,1.0,0.7798628209098807,0.0019043265625718713,0.050404909894324224,0.009669001404862815,140.0
506,5,50,1,0.6,1.0,0.7798394157629508,0.0010377860367593705,0.05040792173224886,0.008226118223682624,85.66666666666667
485,5,20,5,1.0,1.0,0.779830790181951,0.0,0.05040904920519403,0.008588230531046194,78.0
565,5,100,10,1.0,0.8,0.7798096930659751,1.1102230246251565e-16,0.050411464302389054,0.008131199359133,78.0
157,3,5,5,0.8,0.8,0.7798024588365773,0.0019254190806642095,0.05041181021947827,0.009063708200776755,82.33333333333333
337,4,20,5,0.8,0.8,0.7797797300158423,0.0021390933656666345,0.05041430094028945,0.008521888007379264,74.0
193,3,20,5,0.8,0.8,0.7797763642074846,0.0018081017218254424,0.050414854284583095,0.009034026683606965,86.0
497,5,20,30,0.6,1.0,0.7796896017770383,0.002828865449349698,0.050424170270574,0.00864880055224622,103.33333333333333
376,4,50,5,1.0,0.8,0.7796804129679819,1.1102230246251565e-16,0.05042626114519164,0.00934852037581882,111.0
365,4,50,1,0.8,1.0,0.779519003626404,0.0006894013251864318,0.050444667653546056,0.008489525882041896,78.33333333333333
436,5,5,1,0.8,0.8,0.7794687831890985,0.002144884383054245,0.05044987751483396,0.009113241212516119,79.0
533,5,50,30,0.6,1.0,0.7793157961323445,0.0007180456638334613,0.05046790352794286,0.00806044634517008,81.0
392,4,50,30,0.8,1.0,0.7792886262841264,0.0045301074668346215,0.050468430280236704,0.009491471964359087,148.0
214,3,20,30,1.0,0.8,0.7792851257804817,0.0,0.050471477103003363,0.00858998782579468,78.0
178,3,5,30,1.0,0.8,0.7792733268209645,1.1102230246251565e-16,0.05047282613523041,0.008589061339101601,78.0
554,5,100,5,0.8,1.0,0.7792638087049717,0.00238143333468877,0.05047317801755421,0.008300274737776113,78.0
467,5,5,30,1.0,1.0,0.7791818919017657,0.0,0.05048327911057535,0.007844055569017997,67.0
340,4,20,5,1.0,0.8,0.7791616744734634,1.1102230246251565e-16,0.05048559010473255,0.008915519228327512,78.0
341,4,20,5,1.0,1.0,0.7791599522766529,0.0,0.05048578695904335,0.008547947423042894,69.0
491,5,20,10,0.8,1.0,0.7791259645684262,0.001429630651695674,0.05048940783289372,0.008276392096518035,74.0
545,5,100,1,0.8,1.0,0.7791176726088201,0.001289307912655529,0.0504904043432719,0.008088059113245801,80.0
515,5,50,5,0.6,1.0,0.7791049251113465,0.0010313763680938654,0.050491938618108724,0.008641570766151086,77.33333333333333
271,3,100,10,0.6,0.8,0.7790805057626803,0.0017621319723460465,0.05049446498349137,0.009159814066918938,100.0
509,5,50,1,0.8,1.0,0.779028390514703,0.002200535573032204,0.050500198870704595,0.007751677177828942,72.0
443,5,5,5,0.6,1.0,0.7789441024819611,0.0005227116584811558,0.05051041808845641,0.008717163421739045,100.66666666666667
353,4,20,30,0.6,1.0,0.778913630396664,0.004861703236990745,0.05051086137328777,0.009164561871247562,108.66666666666667
226,3,50,5,0.6,0.8,0.7789131884654884,0.0018274146475614492,0.05051355303949376,0.009022271573156592,100.66666666666667
569,5,100,30,0.6,1.0,0.7789049770624832,0.0027016174164692314,0.0505139799064526,0.009777046804367352,167.66666666666666
521,5,50,5,1.0,1.0,0.7788333969906706,0.0,0.05052309973513794,0.008465211912725085,87.0
253,3,100,1,0.6,0.8,0.7787946189836467,0.0026066042922625317,0.05052665325490118,0.009284516599166305,84.0
181,3,20,1,0.6,0.8,0.7787621250146977,0.0005095344932520554,0.05053120625277414,0.009151397933725831,81.66666666666667
383,4,50,10,0.8,1.0,0.778727867459474,0.002852589655084748,0.05053410563394023,0.009149444351995915,103.66666666666667
223,3,50,1,1.0,0.8,0.7787261904845814,1.1102230246251565e-16,0.050535343330483436,0.009092215100648712,87.0
293,4,5,1,0.8,1.0,0.778706684782323,0.001972395744770867,0.050537067576351936,0.009283322286090327,77.0
431,4,100,30,1.0,1.0,0.7787066635187166,1.1102230246251565e-16,0.05053757310217779,0.008504895071088044,70.0
410,4,100,5,0.8,1.0,0.7786732528547929,0.002722400156957512,0.05054043168725993,0.009373896006550508,126.66666666666667
422,4,100,10,1.0,1.0,0.7786316504698337,1.1102230246251565e-16,0.050546137879350965,0.008478799188461486,72.0
524,5,50,10,0.6,1.0,0.7786093721725021,0.002635398364232493,0.05054778671343091,0.00877160931555321,85.33333333333333
475,5,20,1,1.0,0.8,0.778552171897315,0.0,0.050555210934214355,0.009043635245368864,79.0
