n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.054345798641961485,0.49282144047015203
80,0.530677712261677,0.5547683880924971,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.056694064394848094,0.51411610794884
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.06509948436639229,0.6784152012464373
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06169312129044685,0.6429167865634636
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.04268226829309706,0.5450275188065362
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.0429785675488722,0.5488110864250704
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06440068678572763,0.5248453898432476
80,0.530677712261677,0.5547683880924971,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06386120623391535,0.520448792622618
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.06475133170485475,0.5900752073593413
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.06213196085033925,0.5662050295663281
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.02858455368653818,0.3749379228238422
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.028282295243879638,0.37097325876474463
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05432785713904008,0.4926587423861257
65,0.5325909603275384,0.5588034553691015,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05516217528254691,0.5002245502234945
65,0.5325909603275384,0.5588034553691015,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.0642211325588332,0.6692617152535744
65,0.5325909603275384,0.5588034553691015,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06215024397208526,0.6476805566466892
65,0.5325909603275384,0.5588034553691015,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.04290511479335767,0.547873137841535
65,0.5325909603275384,0.5588034553691015,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.043215266093738235,0.5518335879408652
65,0.5325909603275384,0.5588034553691015,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06587113700515661,0.5368290977379951
