family,ece_input,policy,seed,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,zero,c0_only,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_V0_Full_k2,zero,c1_only,13,-9.796960418252832,0.15459678877584304,0.04773925581800546,0.14704125459797213,0.14704125459797213,0.0721182429329522
Clustering_V0_Full_k2,zero,gapi_transplant,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_V0_Full_k2,zero,dynamic_transplant,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_V0_Full_k2,zero,seasonal,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_V0_Full_k2,zero,margin_fallback,13,-0.28112790745109106,0.053253230674185394,0.051338478961342644,0.014151577833364695,0.04528037617370909,0.03602088739431146
Clustering_Backbone54_k2,zero,as_routed,13,-8.539114106752699,0.14531275476303931,0.07032379244275828,0.1271627339800897,0.13444005686527924,-0.2199961161238852
Clustering_Backbone54_k2,zero,c0_only,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_Backbone54_k2,zero,c1_only,13,-9.796960418252832,0.15459678877584304,0.04773925581800546,0.14704125459797213,0.14704125459797213,0.0721182429329522
Clustering_Backbone54_k2,zero,gapi_transplant,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_Backbone54_k2,zero,dynamic_transplant,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_Backbone54_k2,zero,seasonal,13,-0.193050348521133,0.05139005707528408,0.04720634917108482,0.02031006066309441,0.044880617790153184,0.14985735970537964
Clustering_Backbone54_k2,zero,margin_fallback,13,-0.3936860822240198,0.0555433660727352,0.0525712375405542,0.017925693798135012,0.047202434850771954,0.029760950611966597
Clustering_V0_Full_k2,native,as_routed,13,-1.5746330437929505,0.07549312158162363,0.05234607877798832,0.054397605119218706,0.06635764567129473,0.005109189954719435
Clustering_V0_Full_k2,native,c0_only,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_V0_Full_k2,native,c1_only,13,-13.768657496521543,0.18080907460796797,0.04907405601408317,0.17402200575477905,0.17402200575477905,-0.13738061099000196
Clustering_V0_Full_k2,native,gapi_transplant,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_V0_Full_k2,native,dynamic_transplant,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_V0_Full_k2,native,seasonal,13,-1.177221504013783,0.06942262347752295,0.04702126596767562,0.05107348820375432,0.06303352875583033,0.14336262556942778
Clustering_V0_Full_k2,native,margin_fallback,13,-0.5256198042625857,0.05811294340692537,0.05141743102878222,0.027080656894117882,0.05145619015464432,0.035886843906488414
Clustering_Backbone54_k2,native,as_routed,13,-6.250880805657601,0.12669080539940578,0.08853109842098772,0.09062452639944382,0.1019226318802333,-0.37798043607472853
