id,group,track,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
52,SA,single,SA d=10 LR=0.005 MCW=6 Est=1000,0.780786235323908,0.04769466048598969,0.046685771683416304,-0.009758040820998544,0.03697122712211397,0.030274015545845037,0.8890232613971644,23.30148915667087,1.2131072524935007
53,SA,single,SA d=10 LR=0.005 MCW=8 Est=1000,0.7812933449958848,0.047639462247061136,0.04664221118424371,-0.009696519952733348,0.03693505202634457,0.03018489789962768,0.8892867753522693,23.06294634565711,1.2705350518226624
54,SA,single,SA d=10 LR=0.005 MCW=10 Est=1000,0.7809071304334975,0.04768150700901716,0.04663428689010139,-0.009938279326874591,0.03695491936405575,0.029998186826705936,0.8893428044422593,19.276583473198116,0.20796864200383425
55,SA,single,SA d=10 LR=0.005 MCW=15 Est=1000,0.7811090419403444,0.04765953079389723,0.046548822658883285,-0.010229270980903296,0.03679779181734087,0.02980487227439879,0.889817678155037,18.575050504878163,0.15980542823672295
56,SA,single,SA d=10 LR=0.008 MCW=4 Est=750,0.7804296311954992,0.04773343816385829,0.046753494806971115,-0.009622465548124104,0.03691252840515395,0.03006758515536785,0.8886836020963854,16.325064728967845,1.1273079086095095
57,SA,single,SA d=10 LR=0.008 MCW=6 Est=750,0.7823100497035804,0.04752860213815526,0.04652445397849642,-0.009718189273956946,0.03674917201231658,0.0301520379781723,0.8899070007048635,16.18953199312091,0.9657682189717889
58,SA,single,SA d=10 LR=0.008 MCW=8 Est=750,0.7797280105544759,0.04780964164709317,0.0468096450036531,-0.00972722833324955,0.036972190844873104,0.030096510767936707,0.8885228800825863,16.13991864398122,0.6650424618273973
59,SA,single,SA d=10 LR=0.008 MCW=10 Est=750,0.7805671827369454,0.047718484332300484,0.04665476430260426,-0.010019317157863666,0.03688198170105496,0.029601600110530854,0.8893616520255709,15.95356765575707,0.3758782437071204
60,SA,single,SA d=10 LR=0.008 MCW=15 Est=750,0.780813500486621,0.04769169433302437,0.046590006601742194,-0.01019161389489458,0.036786469869113034,0.029615829050540915,0.8897503105992771,15.345485134981573,0.3516026195138693
61,SA,single,SA d=10 LR=0.01 MCW=4 Est=500,0.7809444926686567,0.047677441236275306,0.046745730255099906,-0.009379504707086478,0.03690870172344936,0.030249373584985726,0.8886813984100094,11.16741235461086,0.14138784538954496
62,SA,single,SA d=10 LR=0.01 MCW=6 Est=500,0.7820662717860648,0.047555206907267576,0.04661594380371003,-0.009404864979816702,0.03687083223544939,0.030411758065223685,0.8893921259097639,9.778803584165871,0.7521274844184518
63,SA,single,SA d=10 LR=0.01 MCW=8 Est=500,0.7810998590027703,0.04766053049235423,0.04669336890187314,-0.009552772906694974,0.03695897952385495,0.030202254474163068,0.8889747789768674,9.787191656418145,0.5169817293062806
64,SA,single,SA d=10 LR=0.01 MCW=10 Est=500,0.7820993548813715,0.04755159724765463,0.04655226823361711,-0.009697459649332878,0.03679125681279559,0.02966098082065581,0.8897353082906476,9.580524825491011,0.48087393306195736
65,SA,single,SA d=10 LR=0.01 MCW=15 Est=500,0.779308323764809,0.04785516610666556,0.046739057714603426,-0.010275086807468593,0.03698484767143955,0.03003408718109132,0.8888883467092594,9.46342433989048,0.2096316460520029
66,SB,single,SB L2=0.25 L1=0.0 (d9 LR0.005 MCW8),0.7803422484653015,0.047742935490982345,0.046626034677489256,-0.010266488193693564,0.03689059653666849,0.029988235175609584,0.8896865096885851,17.881507030688226,1.2271481323987246
67,SB,single,SB L2=0.25 L1=0.01 (d9 LR0.005 MCW8),0.7802554409903154,0.0477523684253206,0.046627972684187176,-0.010301497611218886,0.03692902203757327,0.030187189698219305,0.889603073808877,18.098728359676898,0.9354574326425791
68,SB,single,SB L2=0.25 L1=0.03 (d9 LR0.005 MCW8),0.7790036768811655,0.0478881847951895,0.046735052541099935,-0.010445722047018947,0.03709937368614031,0.03044304633140564,0.8889827451483925,18.082954045385122,0.7418687073513865
69,SB,single,SB L2=0.25 L1=0.05 (d9 LR0.005 MCW8),0.7776103395410765,0.048038910278655055,0.04686244224881015,-0.010566380853214919,0.03724993275122835,0.030391270577907567,0.8882683983229099,17.711610379628837,0.7582684410735965
70,SB,single,SB L2=0.25 L1=0.08 (d9 LR0.005 MCW8),0.7756253660898262,0.04825282338741371,0.047064468010023355,-0.010642876298466745,0.037520550755704006,0.03076298779249191,0.8871611149877645,16.485652916133404,1.175014982931316
71,SB,single,SB L2=0.25 L1=0.1 (d9 LR0.005 MCW8),0.7756538427757328,0.04824976126743905,0.0470436552029315,-0.01072072607807117,0.0375288921714887,0.03078077304363251,0.8871979241506687,16.332183931954205,1.1685242243111134
72,SB,single,SB L2=0.5 L1=0.0 (d9 LR0.005 MCW8),0.7796846238351228,0.04781434992020702,0.04669677682471094,-0.010277309556791606,0.03696975787763239,0.03013236373662949,0.8892573168527839,16.7173918094486,0.8332989914342761
73,SB,single,SB L2=0.5 L1=0.01 (d9 LR0.005 MCW8),0.7793274625752777,0.04785309101523594,0.04671374302875745,-0.010380006272282753,0.037010507588757034,0.030353620290756222,0.8891461994188606,16.81468341127038,0.6148923449218273
74,SB,single,SB L2=0.5 L1=0.03 (d9 LR0.005 MCW8),0.7788377696778626,0.04790615682326165,0.046739268040491874,-0.010509076220958612,0.03713065474863048,0.03038850593566894,0.8889127623633236,16.604855326004326,1.3777742078527808
75,SB,single,SB L2=0.5 L1=0.05 (d9 LR0.005 MCW8),0.7771530919728292,0.04808827047764105,0.04690085763729568,-0.01062032530935554,0.03735343186190166,0.030516566276550305,0.8880390688778189,16.842676658183336,0.963721944950521
76,SB,single,SB L2=0.5 L1=0.08 (d9 LR0.005 MCW8),0.7764747522128477,0.048161404541107365,0.0469525493416602,-0.010722826010425462,0.03747354115506583,0.03080182066559792,0.8876915078324107,16.61493592429906,0.9414671445265412
77,SB,single,SB L2=0.5 L1=0.1 (d9 LR0.005 MCW8),0.7764814885113623,0.048160678824336146,0.046978522743889695,-0.010605158553814957,0.03746701366196406,0.03075994604825974,0.8875171253138173,16.66037431359291,0.664896217174828
78,SB,single,SB L2=0.75 L1=0.0 (d9 LR0.005 MCW8),0.7798234639517299,0.04779928152995806,0.04664212984938266,-0.010453852733944925,0.0369644439162557,0.030211709469556813,0.8895166657542958,16.93426540773362,1.3225556761026382
79,SB,single,SB L2=0.75 L1=0.01 (d9 LR0.005 MCW8),0.7788823900552667,0.047901323948719494,0.046742675771781046,-0.010471823980028983,0.037108157367241254,0.030268349364399906,0.8889604229175585,16.988020489923656,1.0980125339701772
80,SB,single,SB L2=0.75 L1=0.03 (d9 LR0.005 MCW8),0.7778675915671358,0.04801111743322628,0.04681803750118668,-0.010636670592839171,0.03726519036857788,0.030430923700332638,0.8885062193642328,17.03400382399559,0.843050361610949
81,SB,single,SB L2=0.75 L1=0.05 (d9 LR0.005 MCW8),0.7774407951138933,0.048057218633829474,0.04688572714357695,-0.010546319257551267,0.03733890534399409,0.030661596059799193,0.8881239603856886,16.98810662329197,0.6364584695547819
82,SB,single,SB L2=0.75 L1=0.08 (d9 LR0.005 MCW8),0.7763495603699019,0.04817488975374416,0.046959509051299336,-0.010752883900951849,0.0374664777100919,0.030712824702262873,0.8876492215695445,16.30613774061203,0.9744347557425499
83,SB,single,SB L2=0.75 L1=0.1 (d9 LR0.005 MCW8),0.7759871617667133,0.04821390475893303,0.047026785481367926,-0.010633064486507289,0.0375222378403286,0.030949597597122194,0.8872551033901631,16.026595804840326,1.143000928685069
84,SB,single,SB L2=1.0 L1=0.0 (d9 LR0.005 MCW8),0.7797535829301356,0.04780686634732408,0.04664497365142802,-0.010475824755263648,0.03701096510696267,0.03013376784324645,0.8894706544096235,16.763717284426093,0.7241886788979173
85,SB,single,SB L2=1.0 L1=0.01 (d9 LR0.005 MCW8),0.7791573273189696,0.047871534473042446,0.04670302469761363,-0.010512435285114537,0.03711288267648427,0.03038750490546227,0.8891360431788087,16.813684003427625,0.6279488271102309
86,SB,single,SB L2=1.0 L1=0.03 (d9 LR0.005 MCW8),0.7782752770020023,0.047967039167953966,0.046780439312167146,-0.010603176114978293,0.037215009711914646,0.030482585906982426,0.8887063324309931,16.841624590568244,0.3227969743311405
87,SB,single,SB L2=1.0 L1=0.05 (d9 LR0.005 MCW8),0.77815968397395,0.04797954100527887,0.046779431304243564,-0.010664012424292157,0.037295011004877594,0.03066791427135468,0.8886066146061665,16.648759266361594,0.44639804027974606
88,SB,single,SB L2=1.0 L1=0.08 (d9 LR0.005 MCW8),0.7757200571734593,0.04824264043084739,0.04702432962342924,-0.010773336434319297,0.03751261713418805,0.030818315207958233,0.8873201650942166,16.546679402701557,0.48251505568623543
89,SB,single,SB L2=1.0 L1=0.1 (d9 LR0.005 MCW8),0.7755346289074474,0.04826257913074377,0.047061541174866536,-0.010699901182524113,0.03758235592538901,0.031033944129943855,0.8870801803191831,16.536586690694094,0.43258576840162277
90,SB,single,SB L2=1.5 L1=0.0 (d9 LR0.005 MCW8),0.7790534619393982,0.04788279047387026,0.046708922269858066,-0.010537466635251149,0.037094862427672765,0.03027214372158052,0.889093433415057,15.267509853467345,1.35548329167068
91,SB,single,SB L2=1.5 L1=0.01 (d9 LR0.005 MCW8),0.7789899373900694,0.04788967339249553,0.04669233817258947,-0.010641727958880699,0.03711713737072451,0.030344254046678537,0.8891466184412004,15.877731926739216,1.0477142361924052
92,SB,single,SB L2=1.5 L1=0.03 (d9 LR0.005 MCW8),0.7774152265034449,0.048059979070122966,0.046868683196790405,-0.010634290089008038,0.03730240767031143,0.030452245533466343,0.8881931420997924,16.023403217084706,0.8802456110715866
93,SB,single,SB L2=1.5 L1=0.05 (d9 LR0.005 MCW8),0.7764692349695191,0.04816199891814278,0.046953608762415305,-0.010720856507968862,0.037452980054163136,0.030759516537189488,0.8877125885860003,16.1792335184291,0.7528521167114377
94,SB,single,SB L2=1.5 L1=0.08 (d9 LR0.005 MCW8),0.7763431291893281,0.0481755823953245,0.04696736311047826,-0.0107216390516215,0.03749419495122805,0.03100988280773162,0.8875574324215051,16.262745139189065,0.662264603190124
95,SB,single,SB L2=1.5 L1=0.1 (d9 LR0.005 MCW8),0.7754837059101133,0.04826805332884183,0.04705251848217154,-0.010764082846981878,0.03758756084041023,0.031028195858001706,0.8871220280720225,16.269355230033398,0.589410251006484
96,SB,single,SB L2=2.0 L1=0.0 (d9 LR0.005 MCW8),0.7790096987252455,0.04788753234735118,0.046694980490316645,-0.010620477968037936,0.0371488495469746,0.03055431669950484,0.8891095093473349,16.688202901743352,0.7308921683579683
97,SB,single,SB L2=2.0 L1=0.01 (d9 LR0.005 MCW8),0.7782329768290446,0.0479716144748077,0.046758508481654325,-0.010719966393745194,0.03720665311406386,0.030443607211112972,0.8887645685711874,16.72664776351303,0.8575859256088734
98,SB,single,SB L2=2.0 L1=0.03 (d9 LR0.005 MCW8),0.7771310482960119,0.04809064882807309,0.04689473050347097,-0.010658084000124848,0.03738636073067199,0.030760742932558056,0.8880212562188449,16.676555886864662,1.2017557369545102
99,SB,single,SB L2=2.0 L1=0.05 (d9 LR0.005 MCW8),0.7775747024030725,0.048042759155201085,0.04686913192453171,-0.010554201996864415,0.03738341986923013,0.03084479731321335,0.8881111216980134,16.77989485859871,0.8942778622731566
100,SB,single,SB L2=2.0 L1=0.08 (d9 LR0.005 MCW8),0.7757886469760604,0.04823526302970979,0.04700297642800046,-0.010833319158075526,0.03755157980202413,0.031014834642410283,0.8873645896126099,16.49829523731023,0.827790878713131
101,SB,single,SB L2=2.0 L1=0.1 (d9 LR0.005 MCW8),0.7751419740229468,0.04830477329434553,0.04710263299371706,-0.01070948593410075,0.03767775816147376,0.030951682060956956,0.8868323832168452,16.512492267414927,0.7136054886505008
