n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,25.0,5,4,0.5,0.7821590603710109,0.0501418051576308,0.038574931673308714,0.009941853772642482
300,15.0,5,1,0.5,0.7821412008124496,0.05014386053839024,0.03867700885964517,0.009902860973165142
300,15.0,2,4,0.5,0.782086894879089,0.050150109860157235,0.038699327930529846,0.010139382710535024
300,15.0,5,4,0.5,0.782086894879089,0.05015010986015723,0.03869932793052984,0.010139382710535022
100,20.0,2,4,0.5,0.7820233456312728,0.0501574218789503,0.038678655936394545,0.009820020579854875
100,20.0,5,4,0.5,0.7820233456312728,0.05015742187895031,0.038678655936394545,0.009820020579854875
100,15.0,5,1,0.5,0.7819942812240317,0.05016076569379254,0.0385532464899672,0.009475870795783506
100,10.0,5,2,0.5,0.7819787979342809,0.05016254693119367,0.038631423004311015,0.009987339379072969
200,20.0,5,1,0.5,0.7819768692574026,0.05016276880670291,0.038757562935250525,0.010175195860651335
300,,5,4,0.5,0.7819611229636466,0.05016458022787925,0.038664479568327505,0.010163483816363608
300,,2,4,0.5,0.7819611229636466,0.05016458022787925,0.038664479568327505,0.01016348381636361
500,20.0,2,2,0.5,0.7819592358968444,0.05016479730776534,0.038818878830476335,0.010405610386767898
100,20.0,2,2,0.5,0.7819530007647025,0.05016551456333286,0.038866682439525006,0.010637949736906996
100,20.0,10,2,0.5,0.781915518407757,0.050169826112975296,0.03868113928748077,0.009379490027378713
100,,10,1,sqrt,0.7818679493640014,0.050175297388399334,0.03947061511849877,0.009912880530285282
200,15.0,5,4,0.5,0.7818611617035268,0.05017607803991871,0.03878514649406011,0.010083522309197165
200,15.0,2,4,0.5,0.7818611617035268,0.05017607803991871,0.03878514649406011,0.010083522309197164
100,25.0,10,1,sqrt,0.7817563644624506,0.05018812927113367,0.03951387537193142,0.010062692336395486
200,,5,1,sqrt,0.7817374410707905,0.050190305071216516,0.03971795386531423,0.010638828863474
500,25.0,10,1,0.5,0.7817318916004332,0.050190943128062264,0.03882854215829469,0.010165880611764577
500,20.0,2,1,0.5,0.7817295459532154,0.050191212819156096,0.03875678058026845,0.010173512186841725
300,25.0,5,4,0.5,0.781708367012735,0.050193647804983636,0.03861668804062903,0.010032066928129245
300,25.0,2,4,0.5,0.781708367012735,0.050193647804983636,0.03861668804062903,0.010032066928129245
500,25.0,5,1,sqrt,0.7816888152632765,0.05019589560449649,0.039549803618190216,0.010256531627491263
300,15.0,10,4,sqrt,0.7816888004301229,0.05019589730977655,0.03952733454903443,0.009819139765042527
500,,5,1,sqrt,0.7816618966530424,0.05019899018277284,0.039577333582473465,0.010128138458310646
500,25.0,2,1,sqrt,0.7816552505223873,0.05019975419625365,0.039560909314631555,0.010085720655747523
300,20.0,10,2,0.5,0.7816354969414803,0.05020202492289446,0.03879783099744784,0.00985412857294498
500,25.0,10,2,0.5,0.7816227712934428,0.05020348771557284,0.038822272967939955,0.010109819159409382
500,25.0,2,1,0.5,0.7816195102135703,0.05020386256457401,0.038692645039026266,0.010159259637960766
500,,2,4,sqrt,0.7816035123410818,0.05020570141996788,0.03969654517342403,0.010122944979822962
500,,5,4,sqrt,0.7816035123410818,0.05020570141996788,0.03969654517342403,0.010122944979822959
200,20.0,10,4,0.5,0.7815803147135384,0.05020836772254777,0.03878467248588697,0.00998993710237319
500,,10,2,0.5,0.7815583578926234,0.050210891278135585,0.0387647347179569,0.010103710495081464
300,20.0,2,1,sqrt,0.781555405912475,0.05021123054736122,0.03951584491814259,0.010112853207006747
500,15.0,2,4,0.5,0.7815535728654115,0.05021144121715603,0.038743227195036305,0.010080475819915828
500,15.0,5,4,0.5,0.7815535728654115,0.05021144121715603,0.038743227195036305,0.010080475819915825
300,25.0,5,1,sqrt,0.7815328631390221,0.05021382129857469,0.039638261290278545,0.010422877839573205
500,20.0,10,2,0.5,0.781529420935773,0.050214216885527636,0.038815559032739456,0.00987593698904013
500,25.0,5,2,0.5,0.7814656642631828,0.05022154340486687,0.038655481993752766,0.0100421332408598
500,25.0,2,4,sqrt,0.7814615306100193,0.05022201838162368,0.03969737288673627,0.010208161284743146
500,25.0,5,4,sqrt,0.7814615306100193,0.05022201838162368,0.03969737288673627,0.010208161284743146
500,20.0,5,1,0.5,0.7814350082250682,0.05022506582516245,0.038794069662775994,0.010149606220688959
200,,5,2,0.5,0.7813761443297184,0.0502318286739706,0.03868346342258501,0.009970802986068283
200,15.0,10,1,0.5,0.7813668225621493,0.050232899564516355,0.03890955304930286,0.010379715005631387
100,15.0,5,2,0.5,0.7813520765648048,0.050234593547384694,0.03897261314406664,0.010086130411723572
500,20.0,5,2,sqrt,0.7813338913003247,0.05023668254590171,0.0396240962115417,0.01036696695451745
100,,5,1,0.5,0.7813325615510336,0.05023683529497618,0.03876366425872478,0.010176648656369386
500,15.0,10,1,0.5,0.7812917488522415,0.05024152324756338,0.038910746645917635,0.010394283646105479
300,20.0,2,2,0.5,0.7811995314175647,0.05025211419710507,0.03881390397389528,0.010412915167926199
500,15.0,10,2,sqrt,0.7811976701362823,0.05025232793778223,0.03955564681298694,0.00978181312253773
500,,10,4,sqrt,0.7811311431959077,0.05025996697788024,0.039631039161791996,0.010194456791344671
500,,2,4,0.5,0.7810786822745069,0.050265990050868375,0.03875521538282256,0.010140406074926386
500,,5,4,0.5,0.7810786822745068,0.050265990050868375,0.03875521538282256,0.01014040607492638
300,20.0,5,1,0.5,0.7810346265010039,0.050271047565812174,0.03881602957769303,0.01012902130285173
300,,10,2,0.5,0.7810218727500023,0.05027251157602831,0.03875834232751099,0.010066706540450051
500,25.0,10,1,sqrt,0.7810151245699616,0.05027328618614552,0.039646248313473624,0.010084016541954174
100,25.0,2,4,sqrt,0.7809775846261019,0.05027759510351383,0.03956882844093705,0.0096093714716645
100,25.0,5,4,sqrt,0.7809775846261019,0.05027759510351383,0.03956882844093705,0.009609371471664496
500,,5,2,0.5,0.7809710411849728,0.05027834613629273,0.038730023770073035,0.009928006130794911
500,20.0,10,4,0.5,0.7809409761923602,0.05028179674447683,0.03880816909125262,0.009922228559340522
100,25.0,2,1,sqrt,0.780930319471768,0.05028301977681941,0.03967145342162251,0.009767612623195655
500,25.0,10,4,sqrt,0.7808999669169269,0.050286503064078,0.039667089053379664,0.01023973570428158
300,25.0,2,1,0.5,0.7808114734410775,0.05029665728025099,0.03870667544424304,0.010162362482697009
300,20.0,2,1,0.5,0.7808038366878416,0.0502975334662008,0.03885970048492717,0.010188382116450892
100,10.0,10,1,0.5,0.7807972137979681,0.05029829331642774,0.0389983647944986,0.009920788055788932
300,,5,1,0.5,0.7807854513029551,0.05029964280996736,0.03885758948543769,0.010140797146842365
200,25.0,2,1,0.5,0.7807840472618562,0.05029980389109337,0.038696624872694756,0.010042604356559195
100,,10,4,sqrt,0.7807100689583275,0.050308290454751034,0.03974299384540992,0.010637174095284628
500,,5,1,0.5,0.7807099003162403,0.0503083097992176,0.03881163755944515,0.010139859370937568
300,25.0,10,1,sqrt,0.7807052871909126,0.050308838955157476,0.039737931403001185,0.010288429224281232
500,15.0,10,2,0.5,0.7806907797716112,0.0503105030156848,0.03877921315697782,0.009869555524081874
300,,2,4,sqrt,0.7806785484513887,0.05031190595554413,0.039770392264190296,0.009987894382550383
300,,5,4,sqrt,0.7806785484513887,0.05031190595554413,0.0397703922641903,0.009987894382550381
300,,5,1,sqrt,0.7806573721909159,0.050314334792991744,0.039791862413536716,0.010430429945391343
100,25.0,5,1,sqrt,0.7806299308657607,0.05031748203539946,0.03958846172581618,0.010359176683962646
100,15.0,2,2,0.5,0.780619586548266,0.05031866837288823,0.03870572125718278,0.010267038495085808
300,15.0,10,1,0.5,0.7806117263889591,0.05031956979612986,0.03891773299904254,0.01036605355734685
500,,2,1,sqrt,0.7805895369004006,0.05032211445648987,0.03985211678403757,0.010391513497652617
300,25.0,5,4,sqrt,0.7805758313319533,0.050323686128150816,0.03977589375052034,0.010064697249720386
300,25.0,2,4,sqrt,0.7805758313319533,0.050323686128150816,0.03977589375052034,0.010064697249720388
500,25.0,2,4,0.5,0.7805538413595643,0.05032620770257721,0.03877307092145402,0.010022481734741157
500,25.0,5,4,0.5,0.7805538413595643,0.05032620770257721,0.03877307092145402,0.010022481734741157
500,20.0,5,1,sqrt,0.7805436990481578,0.05032737067160811,0.03974037330354942,0.010104844160425687
