,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
ctx_21,0.0,0.0,0.0001178593,6.758386e-05,0.0,0.0
ctx_22,0.0,0.0,8.6187036e-05,0.00013183603,0.0,0.0
ctx_23,0.0,0.0,0.00016382796,0.00011041327,0.0,0.0
ctx_24,0.0,0.0,0.026144983,0.0027935524,0.0,0.0
ctx_25,0.0,0.0,0.000337139,0.00029700823,0.0,0.0
ctx_26,0.0,0.0,0.00031546308,0.0026798039,0.0,0.0
ctx_27,0.0,0.0,0.0004960909,0.0003134435,0.0,0.0
ctx_28,0.0,0.0,8.383254e-05,0.00012027729,0.0,0.0
ctx_29,0.0,0.0,0.00012339691,9.8816956e-05,0.0,0.0
ctx_3,0.0,0.0,0.0005967155,0.0004261065,0.0,0.0
ctx_30,0.0,0.0,0.00012422322,0.00011909605,0.0,0.0
ctx_31,0.0,0.0,8.480869e-05,0.00015037584,0.0,0.0
ctx_32,0.0,0.0,0.00016899721,0.00010955497,0.0,0.0
ctx_33,0.0,0.0,0.0013525585,0.0014605038,0.0,0.0
ctx_34,0.0,0.0,0.0004945452,0.00030542316,0.0,0.0
ctx_35,0.0,0.0,9.1909824e-05,0.00023274902,0.0,0.0
ctx_36,0.0,0.0,0.00012242641,0.00021505149,0.0,0.0
ctx_37,0.0,0.0,0.00024474415,0.0001283535,0.0,0.0
ctx_38,0.0,0.0,0.0001410506,0.0006511299,0.0,0.0
ctx_39,0.0,0.0,0.0002539592,7.268795e-05,0.0,0.0
ctx_4,0.0,0.0,8.35526e-05,0.00014268936,0.0,0.0
ctx_40,0.0,0.0,8.065707e-05,0.00013034203,0.0,0.0
ctx_41,0.0,0.0,5.9141872e-05,5.7186073e-05,0.0,0.0
ctx_42,0.0,0.0,4.1073603e-05,0.00010328697,0.0,0.0
ctx_43,0.0,0.0,6.0685452e-05,0.00015542042,0.0,0.0
ctx_44,0.0,0.0,0.0034130036,0.0018989727,0.0,0.0
ctx_45,0.0,0.0,0.00050010416,0.0016839339,0.0,0.0
ctx_46,0.0,0.0,0.00014506339,0.00014228461,0.0,0.0
ctx_47,0.0,0.0,0.0003567778,0.00048425686,0.0,0.0
ctx_48,0.0,0.0,6.900661e-05,7.356624e-05,0.0,0.0
ctx_49,0.0,0.0,0.000116216324,0.000114992145,0.0,0.0
ctx_5,0.0,0.0,7.7423254e-05,0.00020996148,0.0,0.0
ctx_50,0.0,0.0,6.927231e-05,6.46097e-05,0.0,0.0
ctx_51,0.0,0.0,0.003013223,0.0009759938,0.0,0.0
ctx_52,0.0,0.0,0.00019659949,0.00023108206,0.0,0.0
ctx_53,0.0,0.0,0.0001327462,0.00020596119,0.0,0.0
ctx_54,0.0,0.0,0.00015475448,0.0002587667,0.0,0.0
ctx_55,0.0,0.0,7.388166e-05,7.686489e-05,0.0,0.0
ctx_56,0.0,0.0,4.4577526e-05,6.428663e-05,0.0,0.0
ctx_57,0.0,0.0,0.0016550471,0.0026322382,0.0,0.0
ctx_58,0.0,0.0,0.00014099863,0.00012992151,0.0,0.0
