n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
125,0.4947031569323843,0.5126076944369946,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03705791808825149,0.4732078672361022
125,0.4947031569323843,0.5126076944369946,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.03765414772169019,0.48082136976882917
125,0.4947031569323843,0.5126076944369946,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.0639026982414966,0.5207869394651635
125,0.4947031569323843,0.5126076944369946,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06390669102844405,0.5208194794259402
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.05307309032128581,0.48365205706164277
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.0534496414151422,0.48708354578841495
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.031774949695412474,0.41678571466521536
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.028006216234970002,0.36735198514714773
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.062162118179469594,0.5637018019683359
100,0.5065227393540744,0.5242470917417292,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05963507574599839,0.5407859423561285
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05379147501640808,0.5605720952136871
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.05532687195794573,0.576572784546707
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.040109397244782144,0.5121734653611377
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04106838288451736,0.5244191492176471
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.0643338366181667,0.5243005819536773
100,0.5065227393540744,0.5242470917417292,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06391335012447878,0.5208737489691514
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.05354536188432203,0.48795584098625394
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.05358493301918152,0.4883164504902266
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030568656528860053,0.40096300638914517
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.0278674756668687,0.36553215262550853
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.06009712331993138,0.5449759065601982
80,0.4983365716399392,0.5156849818340322,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05725913480724427,0.5192403092958257
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.05394439842493512,0.5621657417069107
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.05422557775576249,0.5650959697135716
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03857786429678817,0.49261668836691647
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.0411111520240581,0.5249652860313073
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.0627088190724977,0.5110571988497603
80,0.4983365716399392,0.5156849818340322,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06345695950970244,0.5171543086636456
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.053266766896068386,0.4854170206850381
65,0.4947547224222744,0.5108983462082557,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.05335848231260637,0.4862528180656755
