station,n,r2,mae,rmse,ubrmse,bias,dry_n,dry_r2,dry_mae,dry_rmse,dry_ubrmse,dry_bias,transition_n,transition_r2,transition_mae,transition_rmse,transition_ubrmse,transition_bias,wet_n,wet_r2,wet_mae,wet_rmse,wet_ubrmse,wet_bias
USCRN_Arco_17_SW,2063,-0.8313179165116154,0.08702615828737753,0.10234784247524333,0.09044601579000655,-0.0479019737281368,1886,-1.5336703523992221,0.08542227833799182,0.10121773436055094,0.08060601900502012,-0.06121845676955104,175,-23.1564095812462,0.10479452328977096,0.1142409533649064,0.06411530605988482,0.09455275223159829,2.0,-111.7582571105955,0.044753012848672474,0.044952789349334776,0.004233333350000007,0.044753012848672474
USCRN_Coos_Bay_8_SW,585,-0.17839859167358751,0.14687765074644768,0.1758812298813514,0.1627483012017371,-0.06668731124078581,262,-17.443374629593336,0.23275308121317806,0.23899560686284496,0.05426696311303309,-0.23275308121317806,139,0.033400520731729055,0.023492724082353072,0.029254582127604827,0.029178748870967264,0.0021050391411568618,184.0,-6.365939096745964,0.11780777044223997,0.12795207223581054,0.049930571926091176,0.11780777044223997
USCRN_Corvallis_10_SSW,2362,-0.2676684452595801,0.10971122162987058,0.1306361705364803,0.12279828022143048,0.04456895137980473,889,-9.811171635423765,0.08406276882688664,0.09709651438744232,0.056119837763358695,-0.07923570480285447,391,-1.583206571968724,0.04245938003158776,0.05352964634435318,0.04956186312660438,0.020224855034616608,1082.0,-18.365065036020667,0.15508732570268144,0.16873949845516434,0.06649014773100456,0.15508732570268144
USCRN_Darrington_21_NNE,2073,-0.9714505935025259,0.11145871084257922,0.13924757369266788,0.09902975402061144,0.09789277091753082,1074,-0.11941878845069809,0.03929034487400375,0.05007089998895756,0.048325281617468276,0.01310580719744388,851,-33.29364790430532,0.17890179148118948,0.18226870799541675,0.034871634879074645,0.17890179148118948,148.0,-183.63263718072943,0.24736927453712435,0.24974032090092485,0.0343317622424731,0.24736927453712435
USCRN_Dillon_18_WSW,1667,-1.551872251035574,0.09950134567693857,0.12595102726023086,0.07728944092021416,0.09944849717390475,971,-1.7400879723942855,0.04131771700011263,0.05130697633045501,0.03054081418667679,0.0412269873867683,602,-32.89258255666672,0.1725665968700438,0.1757685437268904,0.033396865250552715,0.1725665968700438,94.0,-196.89609506188947,0.2325973268146899,0.237229567018281,0.0466513775395903,0.2325973268146899
USCRN_John_Day_35_WNW,2564,-3.00576561287522,0.07658728066001859,0.08504446587828027,0.04723749289748558,-0.07071902460640965,2539,-3.3244008608850164,0.0767245728414963,0.08522620430828218,0.04555076922715422,-0.0720321686721398,25,-45.59478442577254,0.062643886709143,0.06395166126962402,0.012866951352856905,0.062643886709143,,,,,,
USCRN_Murphy_10_W,2332,-0.1638547825795249,0.060930669837279336,0.07032004200061778,0.06428944858901997,-0.028491667327280232,1896,-2.2329777838995932,0.05643882332538669,0.0644344328101123,0.03598673929736128,-0.053448580208501614,399,-5.976444276541237,0.07177478318371804,0.07922376723836247,0.03451984516219674,0.07130768251329021,37.0,-33.73036169638746,0.1741668796026694,0.17671438197880718,0.029897672946586067,0.1741668796026694
USCRN_Quinault_4_NE,3006,-7.671809977226047,0.20797778888837487,0.22260599447016344,0.07936414872694722,0.20797778888837487,1182,-7.245808254567075,0.1271109486209685,0.13554028922258507,0.04705291429039777,0.1271109486209685,1639,-71.71022269831259,0.25155962675709576,0.2542664218899775,0.037002263262707245,0.25155962675709576,185.0,-410.5854177669154,0.33853980472210893,0.33915011068520956,0.020337113770302683,0.33853980472210893
USCRN_Riley_10_WSW,2531,-0.4711675749305382,0.06748420985471715,0.0763488271676521,0.06225595014515721,-0.044196607125431144,2348,-1.1626128352710534,0.06606473080764956,0.07460075537261594,0.05120085090785143,-0.05425629519674981,174,-12.58276611769783,0.07828553379450835,0.08309666916540706,0.030182785598291153,0.07742128828631503,9.0,-32.32669611279068,0.22898492507594417,0.2320971653620812,0.03788137084475037,0.22898492507594417
USCRN_Spokane_17_SSW,2539,-0.5175529498541187,0.11180406009242683,0.13693337098609393,0.11054987980214886,0.08080514937394567,1445,-0.02334101856490034,0.048877272466030304,0.056188967898663525,0.05591014288941654,-0.005590709758345931,918,-33.40568463114508,0.18694257476966955,0.18989031399256381,0.03332874265076582,0.18694257476966955,176.0,-348.8528109075448,0.23653162626534796,0.23770262956363844,0.023565438203820156,0.23653162626534796
USCRN_St_Mary_1_SSW,1554,-0.6753061928828838,0.08574245826023097,0.10458110278011878,0.10006698743820935,0.03039416200106559,1097,-0.9689330183156399,0.07089109059876418,0.08722714731264246,0.08690283735752743,-0.007514791248768157,448,-43.19595023935107,0.12038115152646424,0.13679346611490537,0.06496792076780827,0.12038115152646424,9.0,-119.08373867176726,0.171721985077624,0.17212207594455303,0.011728975593067199,0.171721985077624
