id,group,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
8,A,A MSE d=8 LR=0.005 MCW=5 Est=2500,2023,0.6561459819417126,0.06309276073923224,0.05510490126435852,-0.030726963962346705,0.049071285803670164,0.040297298669815074,0.860278622268693
8,A,A MSE d=8 LR=0.005 MCW=5 Est=2500,2024,0.6339276317962195,0.06038505721348646,0.056813555654719156,-0.020459106286436674,0.044325189286178776,0.03413993692398071,0.8315917934608711
8,A,A MSE d=8 LR=0.005 MCW=5 Est=2500,2025,0.6424018834073261,0.06263021832168592,0.061897230186851775,-0.009553907170259444,0.04579264177328305,0.031348459005355836,0.8106245177645112
9,A,A MSE d=8 LR=0.005 MCW=8 Est=2500,2023,0.6560274425240118,0.06310363502638046,0.05513119613591748,-0.03070211663983164,0.04914470101497797,0.04056474018096923,0.8601786460472707
9,A,A MSE d=8 LR=0.005 MCW=8 Est=2500,2024,0.635823420192627,0.060228495427646585,0.05664444129821377,-0.020466532058768434,0.04429378908941225,0.03399268627166746,0.8327838033767905
9,A,A MSE d=8 LR=0.005 MCW=8 Est=2500,2025,0.6412963441702938,0.06272695643067813,0.06197022036314522,-0.009714054313180346,0.04597869792895569,0.03152313929796219,0.8104127611170842
10,A,A MSE d=8 LR=0.005 MCW=10 Est=2500,2023,0.657500796106048,0.06296834263400176,0.05508450816482717,-0.030507525863500494,0.049034129501735066,0.04053705048561096,0.8604534749005127
10,A,A MSE d=8 LR=0.005 MCW=10 Est=2500,2024,0.6343898087505337,0.060346926233567,0.056844791331290445,-0.020258854989792772,0.04438083425864724,0.03440621423721313,0.8316371689221969
10,A,A MSE d=8 LR=0.005 MCW=10 Est=2500,2025,0.6438967053623844,0.06249917866558492,0.06176336669642845,-0.009562105845221524,0.045779048890281046,0.03148577570915222,0.811841625912508
11,A,A MSE d=8 LR=0.005 MCW=15 Est=2500,2023,0.6553205271747874,0.06316844547597854,0.05525883436068752,-0.030605779339036163,0.049208340027272646,0.04090633368492126,0.8596264370755611
11,A,A MSE d=8 LR=0.005 MCW=15 Est=2500,2024,0.6339005763046104,0.06038728862640536,0.056924993018114274,-0.020153654721719528,0.044372280749776775,0.034154789686203,0.8316403101586387
11,A,A MSE d=8 LR=0.005 MCW=15 Est=2500,2025,0.642364081072776,0.0626335286102325,0.06192709160369082,-0.00938052406196025,0.04600261825864748,0.031808899760246284,0.8112920683198193
12,A,A MSE d=9 LR=0.005 MCW=5 Est=2500,2023,0.6635128492156279,0.06241323906067885,0.05467626409273342,-0.030098480940192508,0.048540179114317,0.040444087266921995,0.8619180519694287
12,A,A MSE d=9 LR=0.005 MCW=5 Est=2500,2024,0.6327246641117277,0.06048419292971841,0.056804076647381505,-0.02077581465389159,0.044237246590298054,0.03382489109039305,0.8307960963335003
12,A,A MSE d=9 LR=0.005 MCW=5 Est=2500,2025,0.6513609394157166,0.06184069126647127,0.06097721081017468,-0.01029809973376383,0.044994969395802824,0.031013993859291086,0.8158870175522402
13,A,A MSE d=9 LR=0.005 MCW=8 Est=2500,2023,0.6646949926381087,0.062303507803531395,0.0546239611900128,-0.029965812996425457,0.04844481277607692,0.040738721370697006,0.8623079758865628
13,A,A MSE d=9 LR=0.005 MCW=8 Est=2500,2024,0.6333587626442817,0.06043195758669136,0.0567349991600097,-0.020812529135082032,0.04424558022274238,0.03393874573707581,0.8313954830341874
13,A,A MSE d=9 LR=0.005 MCW=8 Est=2500,2025,0.6502578653210734,0.06193844421564148,0.06108571313065501,-0.010242388548256397,0.0451229603098,0.031107562780380252,0.8155129246842235
14,A,A MSE d=9 LR=0.005 MCW=10 Est=2500,2023,0.6640359234192237,0.06236470904612229,0.05471155471103248,-0.02993330445355455,0.048543694735537365,0.04040932178497315,0.8619486558803549
14,A,A MSE d=9 LR=0.005 MCW=10 Est=2500,2024,0.6314249349584464,0.06059112039555233,0.05684749306735649,-0.02096774692578479,0.04436162420856637,0.03380404794216155,0.8309048446832552
14,A,A MSE d=9 LR=0.005 MCW=10 Est=2500,2025,0.6498910187635902,0.061970919499031996,0.06115658500086259,-0.010013339831840521,0.0451321342471984,0.030894197195768358,0.8152286366236042
15,A,A MSE d=9 LR=0.005 MCW=15 Est=2500,2023,0.6631108586401817,0.0624505094956438,0.05497451913257722,-0.029628843757522005,0.04859352078720095,0.04068688654899599,0.8608382009904597
15,A,A MSE d=9 LR=0.005 MCW=15 Est=2500,2024,0.629522982658489,0.060747252950936845,0.05705639895311697,-0.02085176451914525,0.04449540184655051,0.03406821572780608,0.8299581387852706
15,A,A MSE d=9 LR=0.005 MCW=15 Est=2500,2025,0.6490702535301518,0.0620435166099052,0.06131849613733712,-0.009457271529303443,0.04515590446447734,0.030736128866672516,0.8146746550427345
16,A,A MSE d=7 LR=0.008 MCW=5 Est=2000,2023,0.647387420970396,0.06389124926343667,0.055881644740444165,-0.030973109523352232,0.04981867673244642,0.04133648610115051,0.8565238605484952
16,A,A MSE d=7 LR=0.008 MCW=5 Est=2000,2024,0.6334380386516076,0.060425423865410326,0.05707555680706014,-0.019839673988709332,0.04458238393399981,0.033562134146690376,0.8313020455843856
16,A,A MSE d=7 LR=0.008 MCW=5 Est=2000,2025,0.6274249801142812,0.06392830370452257,0.06320910206542757,-0.00956229212166692,0.04713830795461793,0.03249490171670913,0.8027793209877637
17,A,A MSE d=7 LR=0.008 MCW=8 Est=2000,2023,0.6475277347158963,0.06387853600101562,0.055926802227921096,-0.030865193247285816,0.049741630800475355,0.04135855460166932,0.856326123285798
17,A,A MSE d=7 LR=0.008 MCW=8 Est=2000,2024,0.6368306015297795,0.06014515259389802,0.057031414271731716,-0.019101234713167214,0.04436937116732184,0.033472393751144414,0.8317152890092325
17,A,A MSE d=7 LR=0.008 MCW=8 Est=2000,2025,0.6296523747303464,0.06373692343064044,0.06311098066646417,-0.008910641263159299,0.047062585923221226,0.03245547187328339,0.8035884701190431
18,A,A MSE d=7 LR=0.008 MCW=10 Est=2000,2023,0.6510840577528065,0.06355546286275571,0.05572760681187086,-0.030557007358719523,0.04950194322429927,0.04096250367164612,0.8574002497836465
18,A,A MSE d=7 LR=0.008 MCW=10 Est=2000,2024,0.6342931497571457,0.06035490288164942,0.05721189298928426,-0.01922273675151477,0.04437201348251148,0.03326246309280395,0.8313106759608331
18,A,A MSE d=7 LR=0.008 MCW=10 Est=2000,2025,0.6331236578735622,0.0634375158193593,0.06276665497704506,-0.009201382305070433,0.04671027367753539,0.032092927217483525,0.8060051281417361
19,A,A MSE d=7 LR=0.008 MCW=15 Est=2000,2023,0.6467765402350054,0.06394656924634601,0.05613371495680542,-0.030629557024643192,0.04978741172340755,0.04134833741188049,0.8550940425090178
19,A,A MSE d=7 LR=0.008 MCW=15 Est=2000,2024,0.6355485525014347,0.06025122031691748,0.057046590162759425,-0.019388040169439725,0.04433782363934833,0.03366004788875579,0.8320814520772998
19,A,A MSE d=7 LR=0.008 MCW=15 Est=2000,2025,0.6276570593571819,0.06390838993859961,0.06326443424722897,-0.009049511805737464,0.04710265260032886,0.032537413597106934,0.8030679053727999
20,A,A MSE d=8 LR=0.008 MCW=5 Est=2000,2023,0.6555968459381682,0.06314312031488664,0.05517457448962061,-0.030705373682625086,0.04909252226374518,0.03983148139715195,0.8599489917763667
20,A,A MSE d=8 LR=0.008 MCW=5 Est=2000,2024,0.6368123134823018,0.060146666933437426,0.05653714092231248,-0.02052250569751936,0.044135381240565666,0.03344797515869141,0.8332558064504084
