dataset,candidate_index,n_features,beta,outer_R2,outer_RMSE,outer_MAE,outer_Bias,retrospective_test_R2,retrospective_test_RMSE,retrospective_test_MAE,retrospective_test_Bias
derived_8.0,13,40,0.2,0.8281138908388812,0.043563273000058605,0.033805753717111316,0.014411905807497747,0.7954497039992363,0.042587658361782035,0.03205645620260402,-0.002803098359712922
derived_8.0,5,50,0.2,0.8256413529029086,0.04387547756080808,0.033944943423262416,0.01749976424412692,0.7762063920857629,0.04454588015190404,0.03322063063013839,0.005110355829307997
derived_8.0,12,50,0.2,0.8215023272249649,0.04439319375977383,0.03448043909666731,0.01468630768873674,0.7957588920879595,0.04255545949288417,0.031912787920880724,-0.002833772103194577
derived_8.0,4,65,0.2,0.8354380184869886,0.042625046458340234,0.032700305464885684,0.0170051023196429,0.779664405253685,0.044200383394088764,0.0327263536201085,0.005265721871870093
derived_8.0,11,65,0.2,0.8185499440214881,0.04475882371808463,0.034963257035130965,0.013321782694800811,0.7884007455559194,0.043315244673774705,0.032701078929392946,-0.0030491471440787336
derived_8.0,3,80,0.2,0.833098276074602,0.042926998433986216,0.032842771747752145,0.017517470861182494,0.7774153149466537,0.044425399818018435,0.0328631793271112,0.00446649060726344
derived_8.0,10,80,0.2,0.8227666465664867,0.04423569334260984,0.03460234223207568,0.013223049329155509,0.7894956697989454,0.043203031557243164,0.03250970394106441,-0.003387142901683589
derived_8.0,2,100,0.2,0.8226170462090289,0.044254358789953624,0.03403468892177676,0.01899886842893765,0.7763720916392658,0.0445293859380716,0.032778163731528594,0.005149923731205592
derived_8.0,9,100,0.2,0.8212463971872306,0.04442500784996644,0.03467847094139193,0.014483333230785588,0.79030712422068,0.04311968139281042,0.032293285607237855,-0.0028047975336323925
derived_8.0,1,125,0.2,0.8278976966785886,0.04359066080254206,0.033707337785183505,0.01897607276402414,0.7796778109215111,0.044199038752812586,0.03243968163211032,0.00521731196005506
derived_8.0,8,125,0.2,0.8318084565641365,0.04309254951033303,0.03361633999836357,0.014230548124431688,0.7926145881737308,0.0428817802635685,0.03204590879811115,-0.0018401894586613447
