split,station_id,date,input_abs_mean,projected_norm_mean,recurrent_norm_mean,final_hidden_norm,embedding_norm,embedding_ood_score,y_true,y_pred
train,Spokane,2019-09-19,0.8779276609420776,6.879393100738525,2.190330743789673,2.4187729358673096,7.9184889793396,1.0170754194259644,0.0949999988079071,0.08789797127246857
train,Spokane,2019-09-20,0.8663315773010254,6.878964424133301,2.1796765327453613,2.4109385013580322,7.918656349182129,1.031599998474121,0.09300000220537186,0.09234154224395752
train,Spokane,2019-09-21,0.8554131984710693,6.8788909912109375,2.166991710662842,2.4043338298797607,7.918850421905518,1.0355045795440674,0.09200000017881393,0.09839670360088348
train,Spokane,2019-09-22,0.8459455370903015,6.879787445068359,2.1532840728759766,2.394098997116089,7.918826103210449,1.0317915678024292,0.09099999815225601,0.10023269057273865
train,Spokane,2019-09-23,0.837266743183136,6.881142616271973,2.135786771774292,2.356239080429077,7.918522357940674,1.025006890296936,0.09099999815225601,0.09896638989448547
train,Spokane,2019-09-24,0.8248943090438843,6.880854606628418,2.1161370277404785,2.3285794258117676,7.919520854949951,1.0902628898620605,0.08900000154972076,0.10160510241985321
train,Spokane,2019-09-25,0.8155796527862549,6.879385948181152,2.0963802337646484,2.310472011566162,7.9202656745910645,1.1343456506729126,0.08699999749660492,0.107426717877388
train,Spokane,2019-09-26,0.8073573708534241,6.876753330230713,2.0821690559387207,2.304774522781372,7.920902252197266,1.1627960205078125,0.08500000089406967,0.11489640176296234
train,Spokane,2019-09-27,0.8030569553375244,6.874955654144287,2.06886625289917,2.281785726547241,7.9212446212768555,1.1678712368011475,0.08299999684095383,0.11575232446193695
train,Spokane,2019-09-28,0.7987776398658752,6.8734941482543945,2.0562338829040527,2.2773451805114746,7.9215407371521,1.1635432243347168,0.14499999582767487,0.11650756001472473
train,Spokane,2019-09-29,0.789452850818634,6.872908592224121,2.0422985553741455,2.2578001022338867,7.921950340270996,1.1289035081863403,0.19599999487400055,0.11960791051387787
train,Spokane,2019-09-30,0.7809321284294128,6.873459815979004,2.0256690979003906,2.2234342098236084,7.922499656677246,1.08335542678833,0.17800000309944153,0.13255667686462402
train,Spokane,2019-10-01,0.7666592597961426,6.871945381164551,2.0060553550720215,2.182634115219116,7.922887802124023,1.1437718868255615,0.16599999368190765,0.14503102004528046
train,Spokane,2019-10-02,0.7522983551025391,6.869214057922363,1.9851715564727783,2.161449909210205,7.9228129386901855,1.2072840929031372,0.15800000727176666,0.15370064973831177
train,Spokane,2019-10-03,0.7383726835250854,6.865077972412109,1.9683994054794312,2.154106855392456,7.922467231750488,1.2665950059890747,0.15399999916553497,0.1623290330171585
