artifact_arm,dataset,model,beta,year,R2,RMSE,MAE,Bias
nested,derived_8.3,2.0_global,0.0,2023,0.5334016260999026,0.0719117892758543,0.0512898557133671,-0.0261345778640743
nested,derived_8.3,2.0_global,0.0,2024,0.5707706184472008,0.0651572993391634,0.0467733019735362,-0.0147592904886683
nested,derived_8.3,2.0_global,0.0,2025,0.5408461752321182,0.0711026868559848,0.0526878011022014,0.0020956529697302
nested,derived_8.3,2.0_global,0.2,2023,0.5588084235041981,0.0699265481601922,0.0497502390818653,-0.0252493738709442
nested,derived_8.3,2.0_global,0.2,2024,0.5347386335471365,0.0678370337838288,0.0485785631687657,-0.0156856246680021
nested,derived_8.3,2.0_global,0.2,2025,0.5685104944263277,0.0689274208022176,0.0520007176910199,0.0001031931612036
nested,derived_8.3,V0,0.0,2023,0.6260062780857707,0.0643814331966845,0.046921422234298,-0.0245579268840643
nested,derived_8.3,V0,0.0,2024,0.6079175836742432,0.0622740393749141,0.0440767768283752,-0.0157576006922568
nested,derived_8.3,V0,0.0,2025,0.6951405670774546,0.0579370966332778,0.0447010824851993,-0.0010541507361104
nested,derived_8.3,V0,0.2,2023,0.6051671974247582,0.066150799523098,0.0479101040822586,-0.0250750296608565
nested,derived_8.3,V0,0.2,2024,0.6015191963713948,0.0627801076753742,0.0448339841073227,-0.0162490027236576
nested,derived_8.3,V0,0.2,2025,0.6950351905525916,0.057947108923796,0.0438167000345231,-0.000438085928081
original,derived_8.0,2.0_global,0.0,2023,0.8065498381542271,0.0416541599489233,0.0304494455912478,0.0016481238627132
original,derived_8.0,2.0_global,0.0,2024,0.7961600812073895,0.0403244771611592,0.0315021073939571,0.003076222885637
original,derived_8.0,2.0_global,0.0,2025,0.754747099815834,0.0486371032238578,0.0361287063387716,-0.0039953627220296
original,derived_8.0,2.0_global,0.2,2023,0.8103436936347285,0.0412436863787024,0.0296063473082925,0.0004885884095424
original,derived_8.0,2.0_global,0.2,2024,0.7843585216155997,0.0414753707220766,0.0327927073726139,0.0028025774275066
original,derived_8.0,2.0_global,0.2,2025,0.7422525564452189,0.0498606353564768,0.0374814453697337,-0.0048340832158603
original,derived_8.0,hand_mdr_v25,0.0,2023,0.8085742950670438,0.0414356312229458,0.0293708401729616,0.0003298843573149
original,derived_8.0,hand_mdr_v25,0.0,2024,0.8274653915607965,0.0370990029205222,0.0279767902967359,0.0013973220188347
original,derived_8.0,hand_mdr_v25,0.0,2025,0.8266252873812135,0.0408934265093122,0.028565187338381,-0.0094464082137971
original,derived_8.0,hand_mdr_v25,0.2,2023,0.8145673323577849,0.0407818529857904,0.0287855383642194,0.0007123557573528
original,derived_8.0,hand_mdr_v25,0.2,2024,0.8328994220041899,0.0365101067161435,0.0272384250522937,0.0008997291749304
original,derived_8.0,hand_mdr_v25,0.2,2025,0.8248562532266523,0.0411015256807108,0.0285364885061339,-0.0105798874450943
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2023,0.5727850173777231,0.0688100259971837,0.0503983426849021,-0.0305239744303745
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2024,0.5740847404628422,0.064905268969758,0.0462802777231947,-0.0242862105303922
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.0,2025,0.6059422062882796,0.0658698796384001,0.0481117295289563,-0.0093278210475235
original,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,0.2,2023,0.5727368515356528,0.0688139048398842,0.0503009996588063,-0.0294691673536072
