n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
40,0.8886241758250307,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,3569,730,0.04669019274207983,0.5063606276983313
40,0.8886241758250307,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,3569,730,0.04641874711482124,0.5034167679682183
40,0.8886241758250307,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.0,3566,689,0.12377401598136188,1.2589080134881478
40,0.8886241758250307,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.2,3566,689,0.11590536714317672,1.1788758274176308
40,0.8886241758250307,year_2019_stations_3_beta_0,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.0,3565,729,0.09195922655353997,1.6380418446742353
40,0.8886241758250307,year_2019_stations_3_beta_0.2,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.2,3565,729,0.08901685774581726,1.5856303204569462
40,0.8886241758250307,year_2020_stations_0_beta_0,station_time,2020,['Paradise_WA'],0.0,6406,366,0.08401510573480439,0.6937929942409133
40,0.8886241758250307,year_2020_stations_0_beta_0.2,station_time,2020,['Paradise_WA'],0.2,6406,366,0.08207624281248121,0.6777819507441958
40,0.8886241758250307,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,5352,726,0.05228224558259687,0.44567331609426064
40,0.8886241758250307,year_2020_stations_1_beta_0.2,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,5352,726,0.052439022844265694,0.4470097438111179
40,0.8886241758250307,year_2020_stations_2_beta_0,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.0,5390,722,0.1003005429147209,1.0479276801598012
40,0.8886241758250307,year_2020_stations_2_beta_0.2,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.2,5390,722,0.08906910684412836,0.9305830237472611
40,0.8886241758250307,year_2020_stations_3_beta_0,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.0,5349,718,0.06787535889249041,0.9414513928701025
40,0.8886241758250307,year_2020_stations_3_beta_0.2,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.2,5349,718,0.06656089715468694,0.9232194180544754
40,0.8886241758250307,year_2021_stations_0_beta_0,station_time,2021,['Paradise_WA'],0.0,8572,365,0.05414771936156808,0.5466074682932989
40,0.8886241758250307,year_2021_stations_0_beta_0.2,station_time,2021,['Paradise_WA'],0.2,8572,365,0.05294011425356495,0.5344170015743599
40,0.8886241758250307,year_2021_stations_1_beta_0,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,7158,725,0.0747001622669886,0.7018410608325257
40,0.8886241758250307,year_2021_stations_1_beta_0.2,station_time,2021,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,7158,725,0.07004330373471845,0.6580878154144788
40,0.8886241758250307,year_2021_stations_2_beta_0,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.0,7200,694,0.10941903307969612,1.0224219891652255
40,0.8886241758250307,year_2021_stations_2_beta_0.2,station_time,2021,"['Darrington', 'MartenRidge_WA_999']",0.2,7200,694,0.10837129465669176,1.0126318203762843
40,0.8886241758250307,year_2021_stations_3_beta_0,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.0,7163,716,0.0742235863026223,1.0296418009127588
40,0.8886241758250307,year_2021_stations_3_beta_0.2,station_time,2021,"['Quinault', 'RainyPass_WA_711']",0.2,7163,716,0.07136156209502066,0.9899393302270121
40,0.8886241758250307,year_2022_stations_0_beta_0,station_time,2022,['Paradise_WA'],0.0,10707,365,0.0818632165750786,0.7679064427167253
40,0.8886241758250307,year_2022_stations_0_beta_0.2,station_time,2022,['Paradise_WA'],0.2,10707,365,0.0830525253874084,0.7790625875345903
40,0.8886241758250307,year_2022_stations_1_beta_0,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,8933,629,0.0655806738878236,0.547728932775491
40,0.8886241758250307,year_2022_stations_1_beta_0.2,station_time,2022,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,8933,629,0.06445669127471473,0.5383414446537711
40,0.8886241758250307,year_2022_stations_2_beta_0,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.0,9006,690,0.10628913736209708,0.77815189267504
40,0.8886241758250307,year_2022_stations_2_beta_0.2,station_time,2022,"['Darrington', 'MartenRidge_WA_999']",0.2,9006,690,0.10630130216730033,0.7782409522574947
40,0.8886241758250307,year_2022_stations_3_beta_0,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.0,8947,698,0.07528723429362262,0.8846654589972267
40,0.8886241758250307,year_2022_stations_3_beta_0.2,station_time,2022,"['Quinault', 'RainyPass_WA_711']",0.2,8947,698,0.07458425513278942,0.8764050761073658
