feature,importance
V_rollmean_s2_b12_kobs7,-0.0005777716636657715
V_rollcv_E_SAR_diff_kobs14,-0.000581800937652588
V_rollstd_G_API_kobs14,-0.0005953478813171387
C_lag_s2_b11_kobs1,-0.0005997109413146972
V_rollmax_F_NDVI_kobs14,-0.0006029844284057618
C_lag_F_NDVI_kobs6,-0.0006096458435058594
SMAP_sm_pm_interp_grad7,-0.000624701976776123
V_ema_E_SAR_diff_kobs7,-0.0006402683258056641
A_d_LST_modis_kobs5,-0.0006528520584106445
A_d_F_NDMI_kobs14,-0.0006717944145202637
V_rollrng_SMAP_sm_interp_kobs30,-0.0007049918174743652
V_rollcv_s2_b11_kobs30,-0.0007173490524291992
D_sa_LST_modis,-0.0007511544227600097
V_rollcv_s2_b12_kobs30,-0.0008006453514099121
A_d_E_SAR_ratio_kobs30,-0.0008210873603820802
V_rollrng_E_SAR_diff_kobs30,-0.000822896957397461
C_lag_F_NDVI_kobs12,-0.0008716726303100587
V_rollmean_s2_b11_kobs30,-0.0010301995277404786
SMAP_sm_am_interp_rollmean7,-0.001032302379608154
V_rollmin_s2_b11_kobs7,-0.0010743522644042968
V_rollmax_E_SAR_diff_kobs7,-0.0011101651191711426
C_lag_E_SAR_diff_kobs5,-0.0011914443969726562
C_lag_E_SAR_diff_kobs1,-0.0012557005882263184
SMAP_sm_interp_lag7,-0.0012635135650634764
C_lag_E_SAR_diff_kobs2,-0.0012702155113220215
V_rollstd_s2_b12_kobs30,-0.0012938070297241213
V_rollrng_F_NDMI_kobs30,-0.0013059616088867186
C_lag_SMAP_sm_interp_kobs5,-0.001342027187347412
A_d_LST_modis_kobs7,-0.0013465762138366699
C_lag_SMAP_sm_interp_kobs6,-0.001489250659942627
C_lag_s2_b12_kobs5,-0.001828312873840332
C_lag_E_SAR_diff_kobs6,-0.0019091057777404785
C_smm_E_SAR_ratio_alpha0.85_n5,-0.0019114208221435545
V_rollmax_LST_modis_kobs30,-0.0020764327049255372
V_rollstd_F_NDMI_kobs30,-0.0021698904037475587
V_rollmean_SMAP_sm_interp_kobs7,-0.0022521257400512696
C_lag_E_SAR_ratio_kobs1,-0.00248013973236084
V_rollmin_E_SAR_ratio_kobs14,-0.0029987239837646487
SMAP_sm_am_interp_lag7,-0.0030388498306274415
C_lag_E_SAR_ratio_kobs2,-0.0031960701942443845
V_rollmean_E_SAR_diff_kobs14,-0.0038429760932922365
V_ema_SMAP_sm_interp_kobs7,-0.0051331472396850585
V_rollmean_E_SAR_ratio_kobs7,-0.005133230686187744
V_rollmax_E_SAR_diff_kobs30,-0.006129086017608643
V_rollmean_F_NDMI_kobs7,-0.006173186302185059
SMAP_sm_interp_ema02,-0.007110497951507569
C_lag_SMAP_sm_interp_kobs2,-0.008800477981567382
